m1,s1,sk1,m2,s2,sk2,m3,s3,sk3
118.1266156299,125.7264047258,0.1498533378,110.7221055137,125.0982463819,0.2692933836,112.5697137844,125.153053548,0.2398394654
102.175708584,123.4960724041,0.4110076641,99.961973442,123.3219970632,0.4469274823,106.9972570625,124.3535936304,0.3296780008
108.8277161511,124.942660955,0.2998686786,103.317457693,124.289449456,0.3899876384,109.4254946047,125.1319419791,0.2899642795
109.9219801443,124.9477883228,0.2824107724,105.5544686818,124.4331475402,0.3534945263,107.93513737,124.6354497325,0.3151358883
90.7553846674,121.1927532372,0.6063960413,97.691007079,123.419157812,0.4820750913,94.6750486026,122.2849757815,0.536537478
113.3847422505,125.7202544061,0.2255705844,93.1624805787,122.1165970051,0.5618719758,106.7161456693,124.7192491839,0.3337520201
118.3347816509,125.7688625932,0.1444345432,95.5369082722,122.3806584223,0.5209295967,107.727230601,124.0341832071,0.3197293642
111.4609174881,125.0986595114,0.2566288882,107.7999474771,124.7624131576,0.3157077318,109.0068986796,124.6670437338,0.2973117152
111.7695930899,124.9456816683,0.2513800932,90.7880861835,121.2180423976,0.6036077412,111.3946365583,124.6770265115,0.259830707
97.0866143767,122.7298681237,0.4958720816,85.6807852819,119.4094049885,0.7005769822,96.1242911372,122.3271560731,0.5141955751
100.9662394954,123.6565657323,0.4299609871,96.2094837694,122.8686390086,0.5084540894,102.2275192147,123.8941787268,0.4076703938
108.4133953012,124.9498089019,0.3066533771,101.1789637923,124.0027834933,0.4246925495,112.1354344641,125.4733490972,0.2459432051
113.3769194165,125.3389813152,0.2248982418,99.8908147846,123.448224657,0.4459804624,111.4620969578,124.6960103462,0.2583435489
118.3516591967,125.5911436,0.1456519401,108.6504049778,124.808406575,0.3023221654,112.6017658993,125.0837774153,0.2389120746
105.4796695057,124.1811016726,0.3555759602,97.3191651805,122.9919290172,0.490411998,112.497591113,125.154040395,0.2395272227
112.9455470653,125.3005917955,0.2315995276,99.7403213938,123.3068120178,0.4494188813,112.7610326056,125.1110087036,0.2361407637
93.4480631469,121.7729056311,0.5580270866,86.1160028633,119.7183010417,0.6889379972,91.8690292475,121.2529988031,0.5866562461
96.9688717115,122.8342783729,0.4976449753,91.0606127337,121.6516188425,0.5978877909,105.3756455466,124.4983227171,0.3564398073
115.9061900464,125.5382454617,0.185639103,110.3394731205,124.9916791645,0.2759994104,112.6550709404,125.1119314733,0.2388638384
113.5144890807,125.2197440839,0.2240953162,111.0512244636,125.0859939845,0.2638413029,109.5703254585,124.6481005997,0.2890541133
117.7001315042,125.5386328423,0.156866768,106.5773707004,124.3101193786,0.3375060891,114.5876408868,125.098558467,0.2080133724
105.2841695175,123.9848357415,0.3570212406,98.045305299,122.8400804155,0.477605272,102.9813459913,123.5367207662,0.3967125982
143.0058141023,125.0855181287,-0.2492756152,108.170336547,125.1834415411,0.3086448451,100.193919051,123.3976138512,0.4435966751
112.1148530014,125.0053038521,0.2452734545,102.0932347766,123.8701860395,0.4096452016,109.8734513771,124.8619131448,0.2823824918
116.4602879346,125.726113904,0.1756848364,105.0627562995,124.4688631814,0.3610008321,109.5215790213,124.8666170296,0.2889688793
108.6592490729,124.7992620648,0.3020537867,96.1543527278,122.4467107262,0.5119534172,104.4297011966,124.0489906733,0.3726907683
113.6878997452,125.2498326202,0.2213253483,109.872990038,124.9183993618,0.2832319999,110.9156225231,124.8579069706,0.2668812302
105.3475989209,124.6350198198,0.3565543231,86.0706822274,120.085480828,0.6896879434,104.2891364783,124.3607128947,0.3735543959
