m1,s1,sk1,m2,s2,sk2,m3,s3,sk3,camera,value
86.73351959,119.2377261352,0.6854953294,62.3383169839,108.4298479124,1.2018421682,84.2464471726,117.9343984953,0.7359144164,HTC-1-M7,1
75.0637159305,114.7255440899,0.9145188716,38.4373815398,90.0780958399,1.9740257491,69.3677467595,111.4927407186,1.0441877303,HTC-1-M7,1
96.302148927,121.0858397294,0.516079162,81.6663729637,117.0105772214,0.7812905696,93.2511929237,120.3136205225,0.5696625944,HTC-1-M7,1
85.4900407758,118.7965162167,0.7085395975,72.0745090265,113.5523322283,0.976154628,83.493998179,117.8087023218,0.7492951657,HTC-1-M7,1
76.3579493167,115.3021016274,0.8853455407,67.0210563029,110.8039521779,1.09246998,71.3430057076,112.8933979689,0.9942707991,HTC-1-M7,1
82.7453474996,117.8954007413,0.7619714739,58.1879917078,105.9724470153,1.3100911525,84.9837126997,118.3140618217,0.7217728072,HTC-1-M7,1
87.3104807918,119.4198578192,0.6755052999,69.2415584861,112.2060479086,1.0391061521,83.2346530388,117.6086294217,0.7584237319,HTC-1-M7,1
105.509398741,123.857912288,0.3563468009,83.0932773829,117.9185962929,0.755238912,81.1061440222,116.8449834074,0.7991084944,HTC-1-M7,1
102.5401164043,122.9833686678,0.4088554069,96.6946227874,121.7929249913,0.5078914743,100.7716862958,122.4292880524,0.4399832054,HTC-1-M7,1
91.8633113546,120.8138518078,0.592943116,85.2715135005,118.87034731,0.7134229842,86.5631574052,119.1133527354,0.6909812248,HTC-1-M7,1
76.1445946409,115.0048118459,0.8907518574,54.2479166667,102.7889503088,1.4204068143,73.4994157758,113.8051200903,0.9471505842,HTC-1-M7,1
85.3788984179,118.7066084116,0.7120063367,67.5060698622,111.0731990841,1.0811991245,84.8163276844,118.3318863433,0.7249813197,HTC-1-M7,1
99.0475164963,122.1757425326,0.468132873,69.4150659853,112.1078571039,1.0356528047,94.7391606458,120.8090962867,0.5435091195,HTC-1-M7,1
92.3818569862,121.043484658,0.583180287,86.6389477111,119.463235134,0.6865642227,91.317061942,120.7454216271,0.6022404572,HTC-1-M7,1
88.1467783228,119.6501244855,0.6582300828,67.2362290002,110.9734263665,1.0870420054,79.7963561247,116.4369415248,0.82036666,HTC-1-M7,1
90.3820858298,120.0239439666,0.6205769712,73.4271136826,113.9709968622,0.9479619866,86.3454828477,118.5819152294,0.6965854354,HTC-1-M7,1
91.4127797521,120.654728506,0.6016168864,83.2863019365,118.2246708321,0.7506681868,90.6041730302,120.4522301033,0.6158016247,HTC-1-M7,1
75.2766459606,114.7084862938,0.9124504696,46.4806104617,97.2886599852,1.6634189838,69.1442960428,111.7619666486,1.0451181498,HTC-1-M7,1
90.0794307546,120.2540153812,0.6245479255,69.0920078517,111.8980476482,1.0437964484,96.8586417215,121.535342238,0.5075232118,HTC-1-M7,1
84.1755007636,118.2971981528,0.7349879796,79.3791612821,116.6722779463,0.8271808844,83.204735961,117.9767829801,0.7533026292,HTC-1-M7,1
85.3782848234,118.9489750441,0.7103474176,70.4475666706,112.6601360517,1.0141421357,87.2103410381,119.2620362072,0.6786254639,HTC-1-M7,1
82.2124706297,117.6187268186,0.7716297618,70.8602003055,112.8620723269,1.0048137154,82.0725625098,117.3899818301,0.775564988,HTC-1-M7,1
63.945048412,109.3926302692,1.1660610921,61.7806983279,108.3592755886,1.2164713441,64.1573770853,109.5194832112,1.1607584614,HTC-1-M7,1
68.1887888667,111.7232463609,1.0640215883,46.8125915374,97.7319217873,1.6538181608,51.1819644326,100.8901311176,1.5167372237,HTC-1-M7,1
77.8279426594,115.902786447,0.8573257254,55.695357045,103.9560030172,1.3800550895,73.2242733298,113.7895725696,0.9556686112,HTC-1-M7,1
87.7760634496,119.475725871,0.6678955089,64.7331752232,109.7439259249,1.1459017819,75.8232049851,114.7793213895,0.9039307953,HTC-1-M7,1
85.7986315887,118.7358094906,0.7026944198,55.9697505482,104.3671054305,1.3722057973,77.1977267387,115.3725769255,0.8752512699,HTC-1-M7,1
74.0180713013,114.4078955045,0.9378240241,54.9880524064,103.860928083,1.3978926442,55.2182690613,103.5268332174,1.3997141499,HTC-1-M7,1
85.2160638412,118.3818530342,0.7145396274,62.073122014,107.8525283302,1.2099954644,81.3242522811,116.6499293464,0.7916976127,HTC-1-M7,1
70.8824211407,112.7158320382,1.0063608496,56.8973339109,104.9326658692,1.3446513387,79.5218669232,116.3629214709,0.8259809565,HTC-1-M7,1
91.1452447036,120.3513731077,0.6071653764,70.3128384927,112.6581747766,1.0142109014,88.5972908345,119.4637845917,0.6551559293,HTC-1-M7,1
69.0631564262,111.9094089072,1.045326857,49.6711064771,99.8304744296,1.5597094505,70.2263466283,112.4312266173,1.0194589807,HTC-1-M7,1
80.4048997004,117.2165138312,0.8069331791,71.8922085487,113.5518987238,0.9821511672,80.4124703849,117.096407147,0.8079077084,HTC-1-M7,1
99.1130710076,122.3973348289,0.4655684808,87.8417063166,119.5873477565,0.6637882834,97.0158031798,121.8678016776,0.5016590199,HTC-1-M7,1
85.597682928,118.8223906691,0.7063581772,69.3988122161,112.2290312554,1.0359476222,83.2955736509,117.8451059551,0.7528920576,HTC-1-M7,1
82.8853958627,117.98609337,0.7598787037,76.7744860197,115.7545179631,0.880023232,81.1069871945,117.2775753981,0.7951339763,HTC-1-M7,1
87.0356545661,119.0157639872,0.6773557853,52.7711040296,102.3388718433,1.464160473,78.8297447721,115.983533162,0.8425554055,HTC-1-M7,1
84.0415942199,118.5972833293,0.7359373887,70.4512563146,112.9150079793,1.0141848266,74.2231763491,114.5330728501,0.9338676124,HTC-1-M7,1
86.6811817141,119.2312392037,0.6858244665,63.1279563655,108.9247008242,1.1837706037,85.9678170034,118.1981962512,0.7053622161,HTC-1-M7,1
89.736306342,120.2037448891,0.6308682519,78.3549608885,116.2577206004,0.8466434083,86.025340206,118.6960866976,0.7018831513,HTC-1-M7,1
79.7148750783,116.6238038253,0.8196632542,50.7628208705,100.6536131646,1.5260736102,69.4871957726,111.9273948312,1.0391388465,HTC-1-M7,1
71.1923421836,112.9667050732,0.9995404661,61.3704258204,107.7937618386,1.2294150865,69.2583323543,111.9695954028,1.043926063,HTC-1-M7,1
70.0508272635,112.6029453505,1.0232163751,57.8412547482,105.8315454466,1.3185996975,65.7180854969,110.2589737446,1.1241761996,HTC-1-M7,1
61.8430595532,108.134934315,1.2161834669,44.2408034246,95.4496876067,1.7475973822,53.1119277686,102.3602242097,1.4558638297,HTC-1-M7,1
80.8181280839,117.3396871686,0.798568141,55.2093054903,104.0307943242,1.3907489602,61.4185647224,107.5264943182,1.232923252,HTC-1-M7,1
88.5383160049,119.4995781971,0.6557211131,71.0001333901,113.2009435673,0.9998425453,94.8066626527,120.8437052891,0.5445152538,HTC-1-M7,1
83.6925663769,118.4353241275,0.7420518774,75.670064321,115.3039093188,0.9025856605,84.3995024182,118.7056828402,0.7288767935,HTC-1-M7,1
78.5535121985,116.1435236456,0.8448440133,66.6345172012,110.7537252856,1.0997016594,80.051244077,116.6622722883,0.8152642393,HTC-1-M7,1
98.1081938244,122.0397436851,0.4853772402,96.1040856536,121.5212661613,0.520690161,99.7261821546,122.3154110671,0.4582096545,HTC-1-M7,1
89.6108268719,119.9201802083,0.6337291718,71.3858325012,113.0179405344,0.9924918181,91.6732162437,120.1575660383,0.6000809518,HTC-1-M7,1
71.4429371769,113.0094072906,0.9936837518,53.5907924107,102.7626287772,1.4403249437,75.0313770266,114.4801808244,0.9170664631,HTC-1-M7,1
90.5548977424,120.3229885479,0.6149153113,54.543624442,103.3406599156,1.4103410245,77.2549506089,115.2996560606,0.8717871798,HTC-1-M7,1
88.7204830925,119.5000278237,0.6513907523,89.869775513,120.0213418974,0.6273784381,92.7981934818,120.5957899594,0.5769320786,HTC-1-M7,1
74.9495335017,114.6654641395,0.9174365816,59.3023545191,106.4425594253,1.2821088145,70.6543849859,112.4564842751,1.0122054749,HTC-1-M7,1
73.1064959763,113.982990614,0.9551411059,49.781494263,99.8409966958,1.5578069723,70.1462592027,112.4501618326,1.0203287282,HTC-1-M7,1
80.0714168233,117.148928549,0.8142916096,67.437968701,111.3761451177,1.0816017383,71.1876980048,113.1534133211,0.9987363669,HTC-1-M7,1
