m1,s1,sk1,m2,s2,sk2,m3,s3,sk3
86.73351959,119.2377261352,0.6854953294,62.3383169839,108.4298479124,1.2018421682,84.2464471726,117.9343984953,0.7359144164
75.0637159305,114.7255440899,0.9145188716,38.4373815398,90.0780958399,1.9740257491,69.3677467595,111.4927407186,1.0441877303
96.302148927,121.0858397294,0.516079162,81.6663729637,117.0105772214,0.7812905696,93.2511929237,120.3136205225,0.5696625944
85.4900407758,118.7965162167,0.7085395975,72.0745090265,113.5523322283,0.976154628,83.493998179,117.8087023218,0.7492951657
76.3579493167,115.3021016274,0.8853455407,67.0210563029,110.8039521779,1.09246998,71.3430057076,112.8933979689,0.9942707991
82.7453474996,117.8954007413,0.7619714739,58.1879917078,105.9724470153,1.3100911525,84.9837126997,118.3140618217,0.7217728072
87.3104807918,119.4198578192,0.6755052999,69.2415584861,112.2060479086,1.0391061521,83.2346530388,117.6086294217,0.7584237319
105.509398741,123.857912288,0.3563468009,83.0932773829,117.9185962929,0.755238912,81.1061440222,116.8449834074,0.7991084944
102.5401164043,122.9833686678,0.4088554069,96.6946227874,121.7929249913,0.5078914743,100.7716862958,122.4292880524,0.4399832054
91.8633113546,120.8138518078,0.592943116,85.2715135005,118.87034731,0.7134229842,86.5631574052,119.1133527354,0.6909812248
76.1445946409,115.0048118459,0.8907518574,54.2479166667,102.7889503088,1.4204068143,73.4994157758,113.8051200903,0.9471505842
85.3788984179,118.7066084116,0.7120063367,67.5060698622,111.0731990841,1.0811991245,84.8163276844,118.3318863433,0.7249813197
99.0475164963,122.1757425326,0.468132873,69.4150659853,112.1078571039,1.0356528047,94.7391606458,120.8090962867,0.5435091195
92.3818569862,121.043484658,0.583180287,86.6389477111,119.463235134,0.6865642227,91.317061942,120.7454216271,0.6022404572
88.1467783228,119.6501244855,0.6582300828,67.2362290002,110.9734263665,1.0870420054,79.7963561247,116.4369415248,0.82036666
90.3820858298,120.0239439666,0.6205769712,73.4271136826,113.9709968622,0.9479619866,86.3454828477,118.5819152294,0.6965854354
91.4127797521,120.654728506,0.6016168864,83.2863019365,118.2246708321,0.7506681868,90.6041730302,120.4522301033,0.6158016247
75.2766459606,114.7084862938,0.9124504696,46.4806104617,97.2886599852,1.6634189838,69.1442960428,111.7619666486,1.0451181498
90.0794307546,120.2540153812,0.6245479255,69.0920078517,111.8980476482,1.0437964484,96.8586417215,121.535342238,0.5075232118
84.1755007636,118.2971981528,0.7349879796,79.3791612821,116.6722779463,0.8271808844,83.204735961,117.9767829801,0.7533026292
85.3782848234,118.9489750441,0.7103474176,70.4475666706,112.6601360517,1.0141421357,87.2103410381,119.2620362072,0.6786254639
82.2124706297,117.6187268186,0.7716297618,70.8602003055,112.8620723269,1.0048137154,82.0725625098,117.3899818301,0.775564988
63.945048412,109.3926302692,1.1660610921,61.7806983279,108.3592755886,1.2164713441,64.1573770853,109.5194832112,1.1607584614
68.1887888667,111.7232463609,1.0640215883,46.8125915374,97.7319217873,1.6538181608,51.1819644326,100.8901311176,1.5167372237
77.8279426594,115.902786447,0.8573257254,55.695357045,103.9560030172,1.3800550895,73.2242733298,113.7895725696,0.9556686112
87.7760634496,119.475725871,0.6678955089,64.7331752232,109.7439259249,1.1459017819,75.8232049851,114.7793213895,0.9039307953
85.7986315887,118.7358094906,0.7026944198,55.9697505482,104.3671054305,1.3722057973,77.1977267387,115.3725769255,0.8752512699
74.0180713013,114.4078955045,0.9378240241,54.9880524064,103.860928083,1.3978926442,55.2182690613,103.5268332174,1.3997141499
85.2160638412,118.3818530342,0.7145396274,62.073122014,107.8525283302,1.2099954644,81.3242522811,116.6499293464,0.7916976127
70.8824211407,112.7158320382,1.0063608496,56.8973339109,104.9326658692,1.3446513387,79.5218669232,116.3629214709,0.8259809565
91.1452447036,120.3513731077,0.6071653764,70.3128384927,112.6581747766,1.0142109014,88.5972908345,119.4637845917,0.6551559293
69.0631564262,111.9094089072,1.045326857,49.6711064771,99.8304744296,1.5597094505,70.2263466283,112.4312266173,1.0194589807
80.4048997004,117.2165138312,0.8069331791,71.8922085487,113.5518987238,0.9821511672,80.4124703849,117.096407147,0.8079077084
99.1130710076,122.3973348289,0.4655684808,87.8417063166,119.5873477565,0.6637882834,97.0158031798,121.8678016776,0.5016590199
85.597682928,118.8223906691,0.7063581772,69.3988122161,112.2290312554,1.0359476222,83.2955736509,117.8451059551,0.7528920576
82.8853958627,117.98609337,0.7598787037,76.7744860197,115.7545179631,0.880023232,81.1069871945,117.2775753981,0.7951339763
87.0356545661,119.0157639872,0.6773557853,52.7711040296,102.3388718433,1.464160473,78.8297447721,115.983533162,0.8425554055
84.0415942199,118.5972833293,0.7359373887,70.4512563146,112.9150079793,1.0141848266,74.2231763491,114.5330728501,0.9338676124
86.6811817141,119.2312392037,0.6858244665,63.1279563655,108.9247008242,1.1837706037,85.9678170034,118.1981962512,0.7053622161
89.736306342,120.2037448891,0.6308682519,78.3549608885,116.2577206004,0.8466434083,86.025340206,118.6960866976,0.7018831513
79.7148750783,116.6238038253,0.8196632542,50.7628208705,100.6536131646,1.5260736102,69.4871957726,111.9273948312,1.0391388465
71.1923421836,112.9667050732,0.9995404661,61.3704258204,107.7937618386,1.2294150865,69.2583323543,111.9695954028,1.043926063
70.0508272635,112.6029453505,1.0232163751,57.8412547482,105.8315454466,1.3185996975,65.7180854969,110.2589737446,1.1241761996
