m0,s0,sk0,m1,s1,sk1,m2,s2,sk2,camera name,value
96.697913875,122.6487796988,0.5045439361,95.8757419583,122.431308995,0.5187457048,96.6647787083,122.6629477507,0.5050741586,Sony-NEX-7,1
94.0871044583,122.0399861535,0.5494510483,88.90117875,120.5987239033,0.6414383081,88.9930364167,120.6727598953,0.6397342802,Sony-NEX-7,1
88.1710214167,120.2423925799,0.6546791731,88.2042595417,120.2138830231,0.6541237871,90.1419934583,120.8100348342,0.6192128112,Sony-NEX-7,1
92.2486905,121.4081120071,0.5816940795,90.0592550417,120.7668043916,0.6207442448,91.2104340833,121.1293845574,0.6001588256,Sony-NEX-7,1
87.7065404167,120.1174594927,0.6630462976,87.01900875,119.8805194451,0.6758165806,87.1038690417,119.9377433495,0.6743756464,Sony-NEX-7,1
100.1301874167,123.4182525726,0.4460904286,100.2233505,123.3934342559,0.4444311938,97.7960221667,122.9813031642,0.4853921444,Sony-NEX-7,1
94.082419125,122.0241465129,0.5493254036,92.184257375,121.5046559811,0.5824937062,91.403029125,121.3479678826,0.5963453178,Sony-NEX-7,1
75.0832531667,115.4272409222,0.9078298957,72.68707875,114.3392400514,0.9583058295,74.5368984167,115.1929380945,0.9193188742,Sony-NEX-7,1
93.010392625,121.890970403,0.5683665721,91.817678375,121.552970657,0.5894271763,66.221885125,111.1309361738,1.1023169311,Sony-NEX-7,1
89.9814742917,121.1255992376,0.6219653344,89.1950992083,120.8666913136,0.6362757548,92.8575339583,121.9210372914,0.5709945683,Sony-NEX-7,1
87.235237625,119.978184403,0.6717414904,85.7688915833,119.4515528108,0.6989321753,85.151664,119.3225369616,0.7103917869,Sony-NEX-7,1
91.8571812083,121.5017136103,0.58924093,92.0145370833,121.5242025435,0.5864414432,93.25714075,121.9078493295,0.5643119738,Sony-NEX-7,1
83.661332875,118.917838532,0.7383080056,82.2762020417,118.4119265322,0.764726772,83.8187242917,118.9858151416,0.7352136959,Sony-NEX-7,1
91.9130275,121.3754711863,0.5875071531,90.8512695417,121.0358600015,0.6064247329,90.288056,120.94273328,0.6164748401,Sony-NEX-7,1
99.8218202083,123.3051080059,0.4512257378,98.7490857917,123.0668422042,0.4693548416,98.9697930417,123.1566205197,0.4656017104,Sony-NEX-7,1
80.746118,117.8316199799,0.794268364,77.5719647083,116.5269605824,0.8571364804,78.5594027083,116.9657408421,0.8373304864,Sony-NEX-7,1
80.597292625,117.898358606,0.7971457493,72.2607372083,114.3075661078,0.9673735378,76.3461272917,116.1512237474,0.8819696227,Sony-NEX-7,1
85.5308705,119.7183948864,0.7033532796,82.0457297083,118.4798882262,0.7692241592,85.0920615,119.5710183971,0.7116256012,Sony-NEX-7,1
92.6796435,121.5910908282,0.573879435,92.794417125,121.5537239409,0.5720562987,92.16761,121.4725224497,0.5828561507,Sony-NEX-7,1
82.0166082083,118.2542315492,0.7695861823,81.681523625,118.1059976677,0.7760891177,79.5370780833,117.3032328894,0.8179170042,Sony-NEX-7,1
72.7370304167,114.4179833931,0.9568134626,71.8921205833,114.0179680001,0.974830525,72.3306532083,114.2398143859,0.9654464668,Sony-NEX-7,1
82.8754719583,118.6524353549,0.7529691969,80.750673125,117.8303841389,0.7940978001,82.48503575,118.5003056124,0.7605729316,Sony-NEX-7,1
93.5249655,121.8570035023,0.5592184159,93.2030315833,121.7464734671,0.5649030064,93.3166446667,121.8007657088,0.5629889004,Sony-NEX-7,1
89.1827002917,120.5897504582,0.6362066319,87.8667059167,120.1591924508,0.6601446739,87.9938252083,120.2768794321,0.6575422915,Sony-NEX-7,1
72.3885196667,114.192861759,0.9648600791,71.2380099167,113.6286385231,0.9898896042,71.69342825,113.8675905728,0.9801266602,Sony-NEX-7,1
83.4672183333,118.642832337,0.7418160686,81.9640018333,118.0731992673,0.7706368794,82.1608945417,118.1833738278,0.7667641886,Sony-NEX-7,1
85.344764,119.4215561064,0.7066243414,82.1963720833,118.2888599587,0.7661543376,81.9726147917,118.2682920454,0.770447245,Sony-NEX-7,1
57.9200687083,106.2772091099,1.3082199993,54.906106375,104.2865356255,1.3909050895,56.0335380417,105.0305948811,1.3594591658,Sony-NEX-7,1
91.504923875,121.2858408224,0.5949109709,89.9412277917,120.8517393091,0.6228661947,91.130409375,121.2184266549,0.6015072758,Sony-NEX-7,1
79.8625709583,117.3250042249,0.8113755552,78.44739575,116.7319160168,0.8394133783,79.0145145833,117.0166609747,0.828174398,Sony-NEX-7,1
81.8878120417,118.2687924225,0.7716504433,80.2320687917,117.6307212492,0.8039203944,81.4892127917,118.1056011336,0.7796735952,Sony-NEX-7,1
81.8201272917,118.1167368839,0.7734262718,78.9320038333,116.9964159427,0.8298909136,79.3930485417,117.2044606694,0.8207045444,Sony-NEX-7,1
75.7538012083,115.7912008583,0.8940478038,75.2798742917,115.5729848999,0.9038616154,76.7370830417,116.1920345418,0.8741137038,Sony-NEX-7,1
